txId,userName,accountId,amount,currency,merchantId,merchantName,deviceId,ipAddress,date,status,isRealFraud
TX-9B437E39,user_13,ACC-110,1.0,MAD,M-004,Marjane,DEV-12,192.168.1.12,2024-01-01T05:33:31,COMPLETED,1
TX-C8743F03,user_5,ACC-123,6.54,MAD,M-001,Amazon,DEV-8,192.168.1.11,2024-01-01T00:00:29,COMPLETED,0
TX-41ECD068,user_5,ACC-119,30.9,MAD,M-002,Netflix,DEV-11,192.168.1.14,2024-01-01T00:00:35,COMPLETED,0
TX-31B87C17,user_4,ACC-124,1.1,MAD,M-005,Casino,DEV-9,192.168.1.14,2024-01-01T02:26:48,COMPLETED,1
TX-016DF7E9,user_12,ACC-100,2.69,MAD,M-003,Jumia,DEV-5,192.168.1.8,2024-01-01T00:00:00,COMPLETED,0
TX-B0A3414F,user_19,ACC-112,1.77,MAD,M-003,Jumia,DEV-5,192.168.1.3,2024-01-01T00:00:26,COMPLETED,0
TX-34959DCB,user_15,ACC-123,1218.89,MAD,M-003,Jumia,DEV-11,192.168.1.19,2024-01-01T05:01:28,COMPLETED,1
TX-64BDE61C,user_15,ACC-111,46.8,MAD,M-005,Casino,DEV-1,192.168.1.1,2024-01-01T00:00:14,COMPLETED,0
TX-CDCD1FC5,user_6,ACC-115,17.28,MAD,M-002,Netflix,DEV-3,192.168.1.3,2024-01-01T00:00:24,COMPLETED,0
TX-093331FF,user_18,ACC-126,529.0,MAD,M-002,Netflix,DEV-7,192.168.1.1,2024-01-01T00:07:52,COMPLETED,1
TX-9D898C5F,user_18,ACC-117,4.99,MAD,M-005,Casino,DEV-8,192.168.1.9,2024-01-01T00:00:04,COMPLETED,0
TX-8D8B5779,user_11,ACC-113,1.0,MAD,M-004,Marjane,DEV-10,192.168.1.4,2024-01-01T02:05:19,COMPLETED,1
TX-9BD152D5,user_2,ACC-113,1.0,MAD,M-003,Jumia,DEV-7,192.168.1.18,2024-01-01T02:11:31,COMPLETED,1
TX-505775C9,user_4,ACC-100,149.62,MAD,M-003,Jumia,DEV-13,192.168.1.13,2024-01-01T00:00:00,COMPLETED,0
TX-E179B633,user_19,ACC-103,1.0,MAD,M-001,Amazon,DEV-9,192.168.1.10,2024-01-01T02:05:43,COMPLETED,1
TX-743C0524,user_15,ACC-109,1.0,MAD,M-001,Amazon,DEV-11,192.168.1.1,2024-01-01T02:05:51,COMPLETED,1
TX-3F7F8313,user_9,ACC-129,188.78,MAD,M-003,Jumia,DEV-2,192.168.1.17,2024-01-01T05:11:15,COMPLETED,1
TX-FE839CE7,user_12,ACC-110,3.79,MAD,M-001,Amazon,DEV-5,192.168.1.6,2024-01-01T04:46:27,COMPLETED,1
TX-0E6D684B,user_12,ACC-116,9.1,MAD,M-001,Amazon,DEV-4,192.168.1.17,2024-01-01T00:00:33,COMPLETED,0
TX-FF88E824,user_12,ACC-124,1.8,MAD,M-002,Netflix,DEV-12,192.168.1.10,2024-01-01T00:00:27,COMPLETED,0
TX-F8F20013,user_11,ACC-126,1.0,MAD,M-005,Casino,DEV-4,192.168.1.17,2024-01-01T04:52:00,COMPLETED,1
TX-71BEF07F,user_1,ACC-124,69.99,MAD,M-002,Netflix,DEV-10,192.168.1.4,2024-01-01T00:00:02,COMPLETED,0
TX-06A1B092,user_1,ACC-113,1.0,MAD,M-004,Marjane,DEV-2,192.168.1.6,2024-01-01T03:29:57,COMPLETED,1
TX-6825C1CF,user_16,ACC-103,34.09,MAD,M-004,Marjane,DEV-9,192.168.1.2,2024-01-01T00:00:17,COMPLETED,0
TX-A9C1E390,user_13,ACC-102,9.99,MAD,M-002,Netflix,DEV-8,192.168.1.15,2024-01-01T00:00:34,COMPLETED,0
TX-602B7410,user_1,ACC-127,378.66,MAD,M-001,Amazon,DEV-9,192.168.1.6,2024-01-01T00:00:01,COMPLETED,0
TX-3FF09B37,user_4,ACC-104,0.0,MAD,M-001,Amazon,DEV-1,192.168.1.19,2024-01-01T00:06:46,COMPLETED,1
TX-808FC779,user_11,ACC-110,1.0,MAD,M-005,Casino,DEV-6,192.168.1.1,2024-01-01T02:16:09,COMPLETED,1
TX-42677EA8,user_1,ACC-121,6.14,MAD,M-002,Netflix,DEV-13,192.168.1.15,2024-01-01T00:00:26,COMPLETED,0
TX-72B7EBF4,user_12,ACC-110,2.28,MAD,M-005,Casino,DEV-4,192.168.1.3,2024-01-01T00:00:18,COMPLETED,0
TX-7B1B1B7B,user_9,ACC-111,30.49,MAD,M-003,Jumia,DEV-8,192.168.1.5,2024-01-01T00:00:27,COMPLETED,0
TX-EBF9D9AA,user_1,ACC-103,1.0,MAD,M-002,Netflix,DEV-7,192.168.1.12,2024-01-01T03:38:46,COMPLETED,1
TX-A0B352A4,user_18,ACC-108,1.0,MAD,M-005,Casino,DEV-12,192.168.1.11,2024-01-01T02:20:15,COMPLETED,1
TX-03BF976C,user_11,ACC-122,20.22,MAD,M-002,Netflix,DEV-13,192.168.1.19,2024-01-01T00:00:35,COMPLETED,0
TX-8D1D7F8C,user_14,ACC-126,20.53,MAD,M-002,Netflix,DEV-11,192.168.1.15,2024-01-01T00:00:29,COMPLETED,0
TX-693670DB,user_1,ACC-111,11.39,MAD,M-001,Amazon,DEV-8,192.168.1.15,2024-01-01T04:23:37,COMPLETED,1
TX-9B690DE5,user_8,ACC-125,1.0,MAD,M-002,Netflix,DEV-12,192.168.1.19,2024-01-01T02:07:52,COMPLETED,1
TX-0E662571,user_16,ACC-102,3.67,MAD,M-002,Netflix,DEV-13,192.168.1.8,2024-01-01T00:00:02,COMPLETED,0
TX-20AC102C,user_20,ACC-110,1.0,MAD,M-001,Amazon,DEV-9,192.168.1.10,2024-01-01T03:05:31,COMPLETED,1
TX-510AE004,user_12,ACC-115,1.0,MAD,M-003,Jumia,DEV-1,192.168.1.2,2024-01-01T03:04:40,COMPLETED,1
TX-0EB73B5F,user_13,ACC-101,0.89,MAD,M-005,Casino,DEV-4,192.168.1.11,2024-01-01T00:00:22,COMPLETED,0
TX-287E5DEF,user_4,ACC-102,1.0,MAD,M-004,Marjane,DEV-11,192.168.1.1,2024-01-01T03:13:55,COMPLETED,1
TX-41936AE8,user_7,ACC-123,29.89,MAD,M-001,Amazon,DEV-3,192.168.1.1,2024-01-01T00:00:32,COMPLETED,0
TX-911585E2,user_20,ACC-119,121.5,MAD,M-002,Netflix,DEV-3,192.168.1.17,2024-01-01T00:00:10,COMPLETED,0
TX-32A3E391,user_9,ACC-104,12.99,MAD,M-005,Casino,DEV-12,192.168.1.7,2024-01-01T00:00:23,COMPLETED,0
TX-48C8C007,user_10,ACC-129,22.75,MAD,M-001,Amazon,DEV-10,192.168.1.17,2024-01-01T00:00:18,COMPLETED,0
TX-9BC67902,user_19,ACC-106,15.99,MAD,M-005,Casino,DEV-8,192.168.1.7,2024-01-01T00:00:12,COMPLETED,0
TX-C3CC4296,user_19,ACC-105,58.8,MAD,M-004,Marjane,DEV-3,192.168.1.12,2024-01-01T00:00:12,COMPLETED,0
TX-DB933304,user_2,ACC-100,1.0,MAD,M-001,Amazon,DEV-7,192.168.1.6,2024-01-01T05:06:39,COMPLETED,1
TX-2590C836,user_10,ACC-104,59.0,MAD,M-001,Amazon,DEV-13,192.168.1.11,2024-01-01T01:56:26,COMPLETED,1
TX-E2930D4F,user_3,ACC-124,27.5,MAD,M-004,Marjane,DEV-14,192.168.1.2,2024-01-01T00:00:11,COMPLETED,0
TX-7EE19B14,user_16,ACC-105,3.93,MAD,M-005,Casino,DEV-14,192.168.1.12,2024-01-01T04:47:10,COMPLETED,1
TX-CA3D2DFE,user_18,ACC-114,15.99,MAD,M-005,Casino,DEV-4,192.168.1.19,2024-01-01T00:00:34,COMPLETED,0
TX-1B45D0B5,user_12,ACC-123,1.0,MAD,M-003,Jumia,DEV-1,192.168.1.11,2024-01-01T02:25:57,COMPLETED,1
TX-5229FC94,user_8,ACC-125,2.35,MAD,M-003,Jumia,DEV-11,192.168.1.4,2024-01-01T00:00:32,COMPLETED,0
TX-0865EF92,user_16,ACC-118,123.5,MAD,M-004,Marjane,DEV-11,192.168.1.17,2024-01-01T00:00:01,COMPLETED,0
